Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Randomise questionnaire elements?,Question Key,Response
2,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,age,19
3,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,age-quantised,3
4,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,gender,אישה
5,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,gender-quantised,2
6,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,gender-text,
7,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,ethnic-1,ישראלי/ת
8,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,ethnic-4,יהודי/ת
9,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,ethnic-text,
10,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,religiosity,1
11,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,religiosity-quantised,1
12,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,education,השלמתי בית ספר תיכון
13,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,education-quantised,4
14,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,language ,כן
15,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,language -quantised,1
16,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,vision,כן
17,1.70913E+12,28/02/2024 13:50,1.70913E+12,2,28/02/2024 15:50,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,vision-quantised,1
