Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Randomise questionnaire elements?,Question Key,Response
1,1716205914865,20/05/2024 11:51:54,1716205935283,3,20/05/2024 14:52:15,142922,38,questionnaire-4l7k,,37746101,BLIND,11118763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716205953422,20/05/2024 11:52:33,1716205973904,3,20/05/2024 14:52:53,142922,38,questionnaire-4l7k,,37746101,BLIND,11118763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,זכר
3,1716205953563,20/05/2024 11:52:33,1716205973906,3,20/05/2024 14:52:53,142922,38,questionnaire-4l7k,,37746101,BLIND,11118763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,2
4,1716205953563,20/05/2024 11:52:33,1716205973906,3,20/05/2024 14:52:53,142922,38,questionnaire-4l7k,,37746101,BLIND,11118763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716205953563,20/05/2024 11:52:33,1716205973906,3,20/05/2024 14:52:53,142922,38,questionnaire-4l7k,,37746101,BLIND,11118763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1536x864,1536x730,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,38623
1,1716208778119,20/05/2024 12:39:38,1716208779435,3,20/05/2024 15:39:39,142922,38,questionnaire-4l7k,,37747087,BLIND,11118974,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1920x1080,1912x958,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716208826931,20/05/2024 12:40:26,1716208828290,3,20/05/2024 15:40:28,142922,38,questionnaire-4l7k,,37747087,BLIND,11118974,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1920x1080,1912x958,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,זכר
3,1716208827054,20/05/2024 12:40:27,1716208828291,3,20/05/2024 15:40:28,142922,38,questionnaire-4l7k,,37747087,BLIND,11118974,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1920x1080,1912x958,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,2
4,1716208827054,20/05/2024 12:40:27,1716208828291,3,20/05/2024 15:40:28,142922,38,questionnaire-4l7k,,37747087,BLIND,11118974,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1920x1080,1912x958,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716208827054,20/05/2024 12:40:27,1716208828292,3,20/05/2024 15:40:28,142922,38,questionnaire-4l7k,,37747087,BLIND,11118974,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1920x1080,1912x958,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,48857
