Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
500,1704890555068,10/01/2024 12:42:35,1704890557501,2,10/01/2024 14:42:37,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,103,75,1,Screen 1,Zone4,continue_button,2257.3000000044703,,,,,0,1,0,,,,,2,task_Jewish,CFD_M-223-N.png
501,1704890556364,10/01/2024 12:42:36,1704890558920,2,10/01/2024 14:42:38,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,121,76,1,Screen 1,Zone3,response_slider_firstInteraction,1433.1999999999534,,,49,,0,1,0,,,,,2,task_Jewish,CFD_M-248-N.png
502,1704890557561,10/01/2024 12:42:37,1704890560117,2,10/01/2024 14:42:40,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,121,76,1,Screen 1,Zone3,response_slider_endValue,2608.89999999851,,,41,,0,1,0,,,,,2,task_Jewish,CFD_M-248-N.png
503,1704890557681,10/01/2024 12:42:37,1704890560119,2,10/01/2024 14:42:40,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,121,76,1,Screen 1,Zone4,continue_button,2608.89999999851,,,,,0,1,0,,,,,2,task_Jewish,CFD_M-248-N.png
504,1704890558440,10/01/2024 12:42:38,1704890560998,2,10/01/2024 14:42:40,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,129,77,1,Screen 1,Zone3,response_slider_firstInteraction,883.0999999999767,,,47,,0,1,0,,,,,2,task_Jewish,IFD_M-020-N.png
505,1704890559492,10/01/2024 12:42:39,1704890562046,2,10/01/2024 14:42:42,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,129,77,1,Screen 1,Zone3,response_slider_endValue,1919.2999999970198,,,40,,0,1,0,,,,,2,task_Jewish,IFD_M-020-N.png
506,1704890559619,10/01/2024 12:42:39,1704890562047,2,10/01/2024 14:42:42,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,129,77,1,Screen 1,Zone4,continue_button,1919.2999999970198,,,,,0,1,0,,,,,2,task_Jewish,IFD_M-020-N.png
507,1704890560666,10/01/2024 12:42:40,1704890563213,2,10/01/2024 14:42:43,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,92,78,1,Screen 1,Zone3,response_slider_firstInteraction,1166.399999999965,,,50,,0,1,0,,,,,2,task_Jewish,CFD_M-206-N.png
508,1704890561733,10/01/2024 12:42:41,1704890564291,2,10/01/2024 14:42:44,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,92,78,1,Screen 1,Zone3,response_slider_endValue,2237.1999999955297,,,42,,0,1,0,,,,,2,task_Jewish,CFD_M-206-N.png
509,1704890561851,10/01/2024 12:42:41,1704890564292,2,10/01/2024 14:42:44,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,92,78,1,Screen 1,Zone4,continue_button,2237.1999999955297,,,,,0,1,0,,,,,2,task_Jewish,CFD_M-206-N.png
510,1704890562853,10/01/2024 12:42:42,1704890565411,2,10/01/2024 14:42:45,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,160,79,1,Screen 1,Zone3,response_slider_firstInteraction,1116.8000000000466,,,46,,0,1,0,,,,,2,task_Jewish,IFD_M-121-N.png
511,1704890564013,10/01/2024 12:42:44,1704890566570,2,10/01/2024 14:42:46,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,160,79,1,Screen 1,Zone3,response_slider_endValue,2270.3000000044703,,,55,,0,1,0,,,,,2,task_Jewish,IFD_M-121-N.png
512,1704890564127,10/01/2024 12:42:44,1704890566572,2,10/01/2024 14:42:46,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,160,79,1,Screen 1,Zone4,continue_button,2270.3000000044703,,,,,0,1,0,,,,,2,task_Jewish,IFD_M-121-N.png
