Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
310,1704814505651,09/01/2024 15:35:05,1704814505945,2,09/01/2024 17:35:05,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,129,12,1,Screen 1,Zone3,response_slider_endValue,1969.8999999761581,,,57,,0,1,0,,,,,2,task_Arab,IFD_M-020-N.png
311,1704814505764,09/01/2024 15:35:05,1704814505946,2,09/01/2024 17:35:05,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,129,12,1,Screen 1,Zone4,continue_button,1969.8999999761581,,,,,0,1,0,,,,,2,task_Arab,IFD_M-020-N.png
312,1704814508201,09/01/2024 15:35:08,1704814508482,2,09/01/2024 17:35:08,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,138,13,1,Screen 1,Zone3,response_slider_firstInteraction,2549.6999999999534,,,49,,0,1,0,,,,,2,task_Arab,IFD_M-044-N.png
313,1704814509297,09/01/2024 15:35:09,1704814509594,2,09/01/2024 17:35:09,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,138,13,1,Screen 1,Zone3,response_slider_endValue,3642,,,57,,0,1,0,,,,,2,task_Arab,IFD_M-044-N.png
314,1704814509536,09/01/2024 15:35:09,1704814509595,2,09/01/2024 17:35:09,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,138,13,1,Screen 1,Zone4,continue_button,3642,,,,,0,1,0,,,,,2,task_Arab,IFD_M-044-N.png
315,1704814510472,09/01/2024 15:35:10,1704814510769,2,09/01/2024 17:35:10,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,148,14,1,Screen 1,Zone3,response_slider_firstInteraction,1183.5,,,47,,0,1,0,,,,,2,task_Arab,IFD_M-084-N.png
316,1704814511372,09/01/2024 15:35:11,1704814511649,2,09/01/2024 17:35:11,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,148,14,1,Screen 1,Zone3,response_slider_endValue,2046.7999999523163,,,58,,0,1,0,,,,,2,task_Arab,IFD_M-084-N.png
317,1704814511539,09/01/2024 15:35:11,1704814511650,2,09/01/2024 17:35:11,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,148,14,1,Screen 1,Zone4,continue_button,2046.7999999523163,,,,,0,1,0,,,,,2,task_Arab,IFD_M-084-N.png
318,1704814512169,09/01/2024 15:35:12,1704814512465,2,09/01/2024 17:35:12,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,144,15,1,Screen 1,Zone3,response_slider_firstInteraction,816.4000000000233,,,50,,0,1,0,,,,,2,task_Arab,IFD_M-066-N.png
319,1704814513827,09/01/2024 15:35:13,1704814514122,2,09/01/2024 17:35:14,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,144,15,1,Screen 1,Zone3,response_slider_endValue,2466.199999988079,,,67,,0,1,0,,,,,2,task_Arab,IFD_M-066-N.png
