"","sID","nFingers","trial","block","acc","rt","group","prev_acc","mean_rt","sd_rt","vib_strength"
"209",2,4,331,2,1,1360,"0",1,1636.67397260274,342.429298881976,1
"210",2,2,332,2,1,1325,"0",1,1474.01714285714,340.947247375963,0.3
"211",2,4,333,2,1,1329,"0",1,1636.67397260274,342.429298881976,0.3
"212",2,3,334,2,1,1763,"0",1,1688.56983240223,365.546472286483,1
"213",2,1,335,2,1,1197,"0",1,1180.02266288952,212.260371699536,0.3
"214",2,2,336,2,1,1688,"0",1,1474.01714285714,340.947247375963,0.3
"215",2,3,337,2,1,1523,"0",1,1688.56983240223,365.546472286483,1
"216",2,5,338,2,1,1385,"0",1,1553.66111111111,338.530046458668,1
"217",2,1,339,2,1,1085,"0",1,1180.02266288952,212.260371699536,1
"218",2,1,340,2,1,963,"0",1,1180.02266288952,212.260371699536,0.3
"219",2,2,341,2,1,1764,"0",1,1474.01714285714,340.947247375963,1
"220",2,1,342,2,1,1109,"0",1,1180.02266288952,212.260371699536,1
"221",2,2,343,2,1,2049,"0",1,1474.01714285714,340.947247375963,1
"222",2,5,344,2,1,1199,"0",1,1553.66111111111,338.530046458668,1
"223",2,2,345,2,1,1344,"0",1,1474.01714285714,340.947247375963,1
"224",2,1,346,2,1,1123,"0",1,1180.02266288952,212.260371699536,0.3
"225",2,5,347,2,1,1615,"0",1,1553.66111111111,338.530046458668,1
"226",2,3,348,2,1,1310,"0",1,1688.56983240223,365.546472286483,0.3
"227",2,5,349,2,1,1422,"0",1,1553.66111111111,338.530046458668,1
"228",2,5,351,2,1,1539,"0",1,1553.66111111111,338.530046458668,0.3
"229",2,1,353,2,1,1014,"0",1,1180.02266288952,212.260371699536,1
"230",2,5,354,2,1,1646,"0",1,1553.66111111111,338.530046458668,1
"231",2,4,355,2,1,1204,"0",1,1636.67397260274,342.429298881976,0.3
"232",2,1,356,2,1,1297,"0",1,1180.02266288952,212.260371699536,1
"233",2,4,357,2,1,2164,"0",1,1636.67397260274,342.429298881976,0.3
"234",2,3,358,2,1,1402,"0",1,1688.56983240223,365.546472286483,1
"235",2,3,359,2,1,1927,"0",1,1688.56983240223,365.546472286483,1
"236",2,4,360,2,1,2105,"0",1,1636.67397260274,342.429298881976,1
"237",2,3,361,2,1,1308,"0",1,1688.56983240223,365.546472286483,0.3
"238",2,1,362,2,1,1164,"0",1,1180.02266288952,212.260371699536,1
"239",2,2,363,2,1,1512,"0",1,1474.01714285714,340.947247375963,1
"240",2,5,364,2,1,1139,"0",1,1553.66111111111,338.530046458668,1
"241",2,5,365,2,1,1377,"0",1,1553.66111111111,338.530046458668,0.3
"242",2,5,366,2,1,1617,"0",1,1553.66111111111,338.530046458668,0.3
"243",2,1,367,2,1,1139,"0",1,1180.02266288952,212.260371699536,0.3
"244",2,1,368,2,1,1225,"0",1,1180.02266288952,212.260371699536,1
"245",2,2,369,2,1,1121,"0",1,1474.01714285714,340.947247375963,1
"246",2,3,370,2,1,1308,"0",1,1688.56983240223,365.546472286483,1
"247",2,2,371,2,1,1451,"0",1,1474.01714285714,340.947247375963,0.3
"248",2,1,372,2,1,1225,"0",1,1180.02266288952,212.260371699536,0.3
"249",2,1,373,2,1,1108,"0",1,1180.02266288952,212.260371699536,1
"250",2,1,374,2,1,1384,"0",1,1180.02266288952,212.260371699536,0.3
"251",2,1,375,2,1,963,"0",1,1180.02266288952,212.260371699536,0.3
"252",2,4,376,2,1,963,"0",1,1636.67397260274,342.429298881976,0.3
"253",2,1,377,2,1,1178,"0",1,1180.02266288952,212.260371699536,1
"254",2,4,378,2,1,1414,"0",1,1636.67397260274,342.429298881976,0.3
"255",2,4,379,2,1,1638,"0",1,1636.67397260274,342.429298881976,0.3
"256",2,3,380,2,1,1245,"0",1,1688.56983240223,365.546472286483,1
"257",2,2,381,2,1,1465,"0",1,1474.01714285714,340.947247375963,1
"258",2,3,382,2,1,1525,"0",1,1688.56983240223,365.546472286483,1
"259",2,5,383,2,1,1829,"0",1,1553.66111111111,338.530046458668,1
"260",2,1,384,2,1,1109,"0",1,1180.02266288952,212.260371699536,1
"261",2,3,385,2,1,1514,"0",1,1688.56983240223,365.546472286483,1
"262",2,3,386,2,1,1495,"0",1,1688.56983240223,365.546472286483,0.3
"263",2,5,387,2,1,1285,"0",1,1553.66111111111,338.530046458668,1
"264",2,4,388,2,1,1286,"0",1,1636.67397260274,342.429298881976,1
"265",2,5,389,2,1,1682,"0",1,1553.66111111111,338.530046458668,1
"266",2,3,390,2,1,1635,"0",1,1688.56983240223,365.546472286483,1
"267",2,5,391,2,1,1257,"0",1,1553.66111111111,338.530046458668,1
"268",2,2,392,2,1,1180,"0",1,1474.01714285714,340.947247375963,0.3
"269",2,1,393,2,1,1156,"0",1,1180.02266288952,212.260371699536,1
"270",2,3,395,2,1,1806,"0",1,1688.56983240223,365.546472286483,0.3
"271",2,5,396,2,1,1146,"0",1,1553.66111111111,338.530046458668,1
"272",2,5,397,2,1,1829,"0",1,1553.66111111111,338.530046458668,0.3
"273",2,2,398,2,1,1355,"0",1,1474.01714285714,340.947247375963,1
"274",2,1,399,2,1,1297,"0",1,1180.02266288952,212.260371699536,1
"275",2,5,400,3,1,1829,"0",1,1553.66111111111,338.530046458668,0.3
"276",2,4,401,3,1,1640,"0",1,1636.67397260274,342.429298881976,0.3
"277",2,2,402,3,1,1482,"0",1,1474.01714285714,340.947247375963,1
"278",2,5,403,3,1,2096,"0",1,1553.66111111111,338.530046458668,0.3
"279",2,4,404,3,1,1444,"0",1,1636.67397260274,342.429298881976,0.3
"280",2,4,405,3,1,1625,"0",1,1636.67397260274,342.429298881976,0.3
"281",2,1,406,3,1,1016,"0",1,1180.02266288952,212.260371699536,0.3
"282",2,4,407,3,1,1185,"0",1,1636.67397260274,342.429298881976,0.3
"283",2,1,408,3,1,1105,"0",1,1180.02266288952,212.260371699536,0.3
"284",2,4,409,3,1,1503,"0",1,1636.67397260274,342.429298881976,1
"285",2,3,410,3,1,1245,"0",1,1688.56983240223,365.546472286483,1
"286",2,3,411,3,1,1763,"0",1,1688.56983240223,365.546472286483,0.3
"287",2,2,412,3,1,1605,"0",1,1474.01714285714,340.947247375963,0.3
"288",2,3,413,3,1,1464,"0",1,1688.56983240223,365.546472286483,0.3
"289",2,3,414,3,1,1716,"0",1,1688.56983240223,365.546472286483,0.3
"290",2,2,415,3,1,1483,"0",1,1474.01714285714,340.947247375963,0.3
"291",2,3,416,3,1,1987,"0",1,1688.56983240223,365.546472286483,0.3
"292",2,1,418,3,1,1043,"0",1,1180.02266288952,212.260371699536,0.3
"293",2,1,419,3,1,1163,"0",1,1180.02266288952,212.260371699536,1
"294",2,1,420,3,1,1447,"0",1,1180.02266288952,212.260371699536,1
"295",2,1,421,3,1,1126,"0",1,1180.02266288952,212.260371699536,0.3
"296",2,4,422,3,1,1615,"0",1,1636.67397260274,342.429298881976,1
"297",2,1,423,3,1,875,"0",1,1180.02266288952,212.260371699536,1
"298",2,4,424,3,1,1850,"0",1,1636.67397260274,342.429298881976,0.3
"299",2,1,425,3,1,1214,"0",1,1180.02266288952,212.260371699536,0.3
"300",2,5,426,3,1,1829,"0",1,1553.66111111111,338.530046458668,0.3
"301",2,1,427,3,1,1118,"0",1,1180.02266288952,212.260371699536,1
"302",2,4,429,3,1,1185,"0",1,1636.67397260274,342.429298881976,0.3
"303",2,3,430,3,1,1457,"0",1,1688.56983240223,365.546472286483,1
"304",2,1,431,3,1,1057,"0",1,1180.02266288952,212.260371699536,0.3
"305",2,4,432,3,1,1620,"0",1,1636.67397260274,342.429298881976,0.3
"306",2,3,433,3,1,1708,"0",1,1688.56983240223,365.546472286483,0.3
"307",2,1,434,3,1,1106,"0",1,1180.02266288952,212.260371699536,0.3
"308",2,2,435,3,1,1517,"0",1,1474.01714285714,340.947247375963,1
"309",2,1,436,3,1,1100,"0",1,1180.02266288952,212.260371699536,0.3
"310",2,5,437,3,1,1280,"0",1,1553.66111111111,338.530046458668,1
"311",2,2,439,3,1,1492,"0",1,1474.01714285714,340.947247375963,0.3
"312",2,1,440,3,1,1026,"0",1,1180.02266288952,212.260371699536,0.3
"313",2,5,442,3,1,1624,"0",1,1553.66111111111,338.530046458668,0.3
"314",2,3,443,3,1,1490,"0",1,1688.56983240223,365.546472286483,1
"315",2,5,444,3,1,1617,"0",1,1553.66111111111,338.530046458668,0.3
"316",2,4,445,3,1,1566,"0",1,1636.67397260274,342.429298881976,0.3
"317",2,2,446,3,1,1344,"0",1,1474.01714285714,340.947247375963,1
"318",2,1,447,3,1,1106,"0",1,1180.02266288952,212.260371699536,1
"319",2,5,448,3,1,1646,"0",1,1553.66111111111,338.530046458668,0.3
"320",2,5,449,3,1,1127,"0",1,1553.66111111111,338.530046458668,0.3
"321",2,4,450,3,1,1850,"0",1,1636.67397260274,342.429298881976,1
"322",2,1,451,3,1,1164,"0",1,1180.02266288952,212.260371699536,0.3
"323",2,3,452,3,1,2168,"0",1,1688.56983240223,365.546472286483,0.3
"324",2,2,453,3,1,1571,"0",1,1474.01714285714,340.947247375963,0.3
"325",2,3,454,3,1,1565,"0",1,1688.56983240223,365.546472286483,1
"326",2,5,455,3,1,1457,"0",1,1553.66111111111,338.530046458668,0.3
"327",2,5,456,3,1,1413,"0",1,1553.66111111111,338.530046458668,0.3
"328",2,4,457,3,1,1584,"0",1,1636.67397260274,342.429298881976,1
"329",2,1,458,3,1,1065,"0",1,1180.02266288952,212.260371699536,0.3
"330",2,1,459,3,1,1367,"0",1,1180.02266288952,212.260371699536,1
"331",2,5,460,3,1,1646,"0",1,1553.66111111111,338.530046458668,1
"332",2,5,461,3,1,1840,"0",1,1553.66111111111,338.530046458668,1
"333",2,5,462,3,1,1345,"0",1,1553.66111111111,338.530046458668,1
"334",2,3,463,3,1,1318,"0",1,1688.56983240223,365.546472286483,0.3
"335",2,5,464,3,1,1176,"0",1,1553.66111111111,338.530046458668,0.3
"336",2,5,466,3,1,1186,"0",1,1553.66111111111,338.530046458668,0.3
"337",2,3,467,3,1,1566,"0",1,1688.56983240223,365.546472286483,0.3
"338",2,2,469,3,1,1227,"0",1,1474.01714285714,340.947247375963,1
"339",2,5,470,3,1,1641,"0",1,1553.66111111111,338.530046458668,1
"340",2,1,471,3,1,1126,"0",1,1180.02266288952,212.260371699536,0.3
"341",2,5,472,3,1,1422,"0",1,1553.66111111111,338.530046458668,1
"342",2,3,474,3,1,1927,"0",1,1688.56983240223,365.546472286483,0.3
"343",2,4,475,3,1,1850,"0",1,1636.67397260274,342.429298881976,0.3
"344",2,5,476,3,1,1454,"0",1,1553.66111111111,338.530046458668,1
"345",2,2,477,3,1,2096,"0",1,1474.01714285714,340.947247375963,1
"346",2,5,478,3,1,1313,"0",1,1553.66111111111,338.530046458668,0.3
"347",2,5,479,3,1,2025,"0",1,1553.66111111111,338.530046458668,0.3
"348",2,3,480,3,1,1181,"0",1,1688.56983240223,365.546472286483,1
"349",2,4,481,3,1,1546,"0",1,1636.67397260274,342.429298881976,0.3
"350",2,5,482,3,1,1615,"0",1,1553.66111111111,338.530046458668,1
"351",2,1,483,3,1,955,"0",1,1180.02266288952,212.260371699536,0.3
"352",2,2,484,3,1,1180,"0",1,1474.01714285714,340.947247375963,0.3
"353",2,5,485,3,1,1726,"0",1,1553.66111111111,338.530046458668,0.3
"354",2,2,488,3,1,1439,"0",1,1474.01714285714,340.947247375963,0.3
"355",2,1,489,3,1,1126,"0",1,1180.02266288952,212.260371699536,1
"356",2,1,490,3,1,1065,"0",1,1180.02266288952,212.260371699536,1
"357",2,5,491,3,1,1384,"0",1,1553.66111111111,338.530046458668,0.3
"358",2,3,492,3,1,1925,"0",1,1688.56983240223,365.546472286483,1
"359",2,1,493,3,1,1194,"0",1,1180.02266288952,212.260371699536,0.3
"360",2,3,494,3,1,2042,"0",1,1688.56983240223,365.546472286483,0.3
